solver,problem,restarts,conflicts,decisions,propagations,conf_lits,num_ev,ev_decisions,ev_conflicts,ev_learnt,total_lbd,mem_used,cpu_time,er_time,satisfiability
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round32_restrict440_maplesat_preprocess.cnf,25115,17046899,23025169,5615106444,1390646865,0,0,0,0,395309172,152,4947.94,0.002306,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/goel/industry/cal32/cal32.aig_unroll9_maplesat_preprocess.cnf,4,421,1038,25761,2709,0,0,0,0,2016,11,0.011687,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_two_operand/rounds78_maplesat_preprocess.cnf,16893,11677437,49590605,8579966353,1659493282,0,0,0,0,615559478,204,4946.76,0.004804,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_counter_chain_restricted/round32_restrict475_maplesat_preprocess.cnf,24572,16148246,17891973,6997285518,789397125,0,0,0,0,228377475,81,4949.16,0.001245,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/cnfgen/tseitin/tseitin_94_69_grid_maplesat_preprocess.cnf,232260,190025293,2434284453,5581388522,8866469028,0,0,0,0,7611126606,1613,4918.71,0.00508,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/goel/opensource/h_TreeArb/h_TreeArb.aig_unroll19_maplesat_preprocess.cnf,30,5637,15127,547876,100057,0,0,0,0,32414,11,0.220664,1.10E-05,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round46_restrict470_maplesat_preprocess.cnf,8191,5318231,8683514,13543173370,447449579,0,0,0,0,151458058,72,4948.22,0.000971,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix/rounds56_maplesat_preprocess.cnf,17406,11978206,55849079,8490578662,2161127456,0,0,0,0,906167454,173,4942.78,0.003242,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019A/picorv32_mutBX_nomem-p7.aig_unroll22_maplesat_preprocess.cnf,190,62769,533463,227184615,6154469,0,0,0,0,812323,160,67.4629,1.20E-05,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_counter_chain_restricted/round74_restrict480_maplesat_preprocess.cnf,4091,2068072,5019130,11436890818,178517249,0,0,0,0,43504640,66,4949.62,0.001297,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/beem/lamport_nonatomic.5.prop1-func-interl.aig_unroll21_maplesat_preprocess.cnf,130,45148,110483,57379522,4945795,0,0,0,0,478214,35,18.4731,2.80E-05,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round78_restrict460_maplesat_preprocess.cnf,4095,2345259,6078153,11288128245,235841722,0,0,0,0,74519814,64,4948.2,0.000919,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/cnfgen/ordering_principle/op_78_maplesat_preprocess.cnf,114684,87485888,132897881,3389820550,5403266150,0,0,0,0,4294667076,778,4913.8,0.00397,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_counter_chain_restricted/round76_restrict450_maplesat_preprocess.cnf,4095,2378141,6335641,10983507081,355287634,0,0,0,0,86156471,92,4948.8,0.000748,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_dot_matrix_restricted/round40_restrict460_maplesat_preprocess.cnf,10428,6520255,9889182,11570241780,636930914,0,0,0,0,225265269,98,4947.26,0.001527,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019C/vgasim_imgfifo-p039.aig_unroll15_maplesat_preprocess.cnf,1,26,107,4938,64,0,0,0,0,51,11,0.00869,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crafted/cnfgen/tseitin/tseitin_85_36_grid_maplesat_preprocess.cnf,1,0,2940,5888,0,0,0,0,0,0,13,0.012536,0,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_counter_chain_restricted/round56_restrict505_maplesat_preprocess.cnf,3,226,924,72795,1204,0,0,0,0,765,15,0.043588,0,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_counter_chain/rounds41_maplesat_preprocess.cnf,22202,14745117,52851038,8284847263,2803970268,0,0,0,0,1126671197,240,4944.19,0.004118,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/goel/industry/cal32/cal32.aig_unroll22_maplesat_preprocess.cnf,15,2982,7361,278859,29262,0,0,0,0,19765,12,0.075623,5.00E-06,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_two_operand_restricted/round74_restrict465_maplesat_preprocess.cnf,4089,2056634,4890557,10114854693,291839495,0,0,0,0,58883242,70,4949.27,0.001331,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_two_operand_restricted/round40_restrict460_maplesat_preprocess.cnf,9850,6109139,8975595,10834547095,894048748,0,0,0,0,201429335,78,4948.77,0.001672,INDETERMINATE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019C/qspiflash_qflexpress_divfive-p128.aig_unroll15_maplesat_preprocess.cnf,1,8,343,1031,23,0,0,0,0,17,11,0.004642,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2016/bench_2363.smt2_maplesat_preprocess.cnf,1978,906887,1446762,1150724957,61527385,0,0,0,0,29783821,42,329.831,0.000657,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/verification/hwmcc19/aig/wolf/2019C/qspiflash_dualflexpress_divfive-p154.aig_unroll22_maplesat_preprocess.cnf,2,137,709,7108,663,0,0,0,0,424,12,0.007843,0,UNSATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha256_preimage_dot_matrix_restricted/round34_restrict495_maplesat_preprocess.cnf,157,51217,253669,75632786,1290540,0,0,0,0,575273,17,22.4617,0.000107,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/crypto/sha1_preimage_two_operand_restricted/round52_restrict495_maplesat_preprocess.cnf,732,301345,1041839,608183109,15585817,0,0,0,0,3353653,22,218.199,0.000528,SATISFIABLE
maplesat,/scratch/jt2chung/parameters_of_industiral/agile/2016/bench_7267.smt2_maplesat_preprocess.cnf,14,2042,5172,85228,15094,0,0,0,0,10162,11,0.043704,0,UNSATISFIABLE
