solver,problem,restarts,conflicts,decisions,propagations,conf_lits,num_ev,ev_decisions,ev_conflicts,ev_learnt,total_lbd,mem_used,cpu_time,er_add_time,er_delC_time,er_delV_time,er_sub_time,satisfiability
maplelcm,/scratch/jt2chung/sat2020/b2005-p2-14x14c17h9-Ser3-0.cnf,7606,1703055,21868118,12214562633,235131240,0,0,0,0,,1910,4990.09,0,0,0,0,UNKNOWN
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_100_426_0.cnf,5,2101,3946,44213,20615,0,0,0,0,,13,0.054582,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_100_426_1.cnf,5,16651,25909,291939,137927,0,0,0,0,,15,0.516737,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_100_426_2.cnf,11,16476,26000,300686,137867,0,0,0,0,,14,0.506922,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_100_426_3.cnf,4,17157,26482,311511,147084,0,0,0,0,,15,0.549848,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_100_426_4.cnf,28,12003,19062,230674,101816,0,0,0,0,,14,0.324182,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_100_426_5.cnf,2,3045,5342,62107,30213,0,0,0,0,,13,0.053412,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_100_426_6.cnf,2,3601,6173,74713,38918,0,0,0,0,,13,0.076383,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_100_426_7.cnf,35,15298,23514,291716,138307,0,0,0,0,,15,0.528921,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_100_426_8.cnf,17,17594,26856,323504,169133,0,0,0,0,,15,0.768659,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_100_426_9.cnf,7,13865,21381,266012,120544,0,0,0,0,,14,0.42612,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_125_532_0.cnf,40,31937,48145,679921,345067,0,0,0,0,,15,1.49826,0,0,0,0,UNSATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_125_532_1.cnf,2,234,636,5702,2484,0,0,0,0,,13,0.004504,0,0,0,0,SATISFIABLE
maplelcm,/scratch/jt2chung/xMaplesatExperiments/instances/random/rand3_125_532_2.cnf,49,20484,30240,467348,212195,0,0,0,0,,15,0.705961,0,0,0,0,UNSATISFIABLE
